수집일자,건구 온도,습구 온도,근권,상대 습도,절대 습도,이슬점,수분 부족,이산화탄소,날짜,시간
2021-09-01 07:33:00,11.8,11.0,11.4,90.2,9.5,10.3,1.0,1013,2021-09-01,07:33:00
2021-09-01 07:38:00,11.9,11.1,11.5,90.2,9.6,10.4,1.0,1018,2021-09-01,07:38:00
2021-09-01 07:43:00,12.1,11.2,11.7,89.6,9.6,10.5,1.1,1025,2021-09-01,07:43:00
2021-09-01 07:48:00,12.3,11.3,11.8,89.6,9.7,10.6,1.1,1033,2021-09-01,07:48:00
2021-09-01 07:53:00,12.5,11.6,11.9,89.7,9.9,10.9,1.1,1043,2021-09-01,07:53:00
2021-09-01 07:58:00,12.8,12.1,12.3,91.8,10.3,11.5,0.9,1018,2021-09-01,07:58:00
2021-09-01 08:03:00,12.6,11.9,12.1,91.8,10.2,11.3,0.9,992,2021-09-01,08:03:00
2021-09-01 08:08:00,12.8,11.9,12.3,90.5,10.1,11.2,1.1,984,2021-09-01,08:08:00
2021-09-01 08:43:00,13.6,12.7,13.0,90.7,10.7,12.1,1.1,1034,2021-09-01,08:43:00
2021-09-01 08:48:00,13.5,12.8,13.1,92.0,10.8,12.2,0.9,1006,2021-09-01,08:48:00
2021-09-01 08:53:00,13.5,12.6,13.0,90.7,10.6,12.0,1.1,992,2021-09-01,08:53:00
2021-09-01 09:18:00,14.3,13.5,13.8,91.5,11.2,12.9,1.0,1021,2021-09-01,09:18:00
2021-09-01 09:23:00,14.1,13.2,13.6,90.8,11.0,12.6,1.1,1000,2021-09-01,09:23:00
2021-09-01 09:28:00,13.9,13.1,13.5,90.8,10.9,12.5,1.1,996,2021-09-01,09:28:00
2021-09-01 09:48:00,14.7,13.9,14.1,91.7,11.5,13.3,1.0,1021,2021-09-01,09:48:00
2021-09-01 10:18:00,14.8,14.0,14.4,91.7,11.6,13.4,1.1,1035,2021-09-01,10:18:00
2021-09-01 10:48:00,15.0,14.1,14.4,91.1,11.7,13.6,1.1,1031,2021-09-01,10:48:00
2021-09-01 18:58:00,15.1,14.3,14.7,91.1,11.8,13.7,1.1,994,2021-09-01,18:58:00
